"#000000","black",0,0,0
"#800000","maroon",50.2,0,0
"#8b0000","darkred",54.51,0,0
"#a52a2a","brown",64.71,16.47,16.47
"#696969","dimgrey",41.18,41.18,41.18
"#b22222","firebrick",69.8,13.33,13.33
"#ff0000","red",100,0,0
"#808080","grey",50.2,50.2,50.2
"#cd5c5c","indianred",80.39,36.08,36.08
"#bc8f8f","rosybrown",73.73,56.08,56.08
"#a9a9a9","darkgrey",66.27,66.27,66.27
"#f08080","lightcoral",94.12,50.2,50.2
"#c0c0c0","silver",75.29,75.29,75.29
"#d3d3d3","lightgrey",82.75,82.75,82.75
"#dcdcdc","gainsboro",86.27,86.27,86.27
"#f5f5f5","whitesmoke",96.08,96.08,96.08
"#fffafa","snow",100,98.04,98.04
"#ffffff","white",100,100,100
"#ffe4e1","mistyrose",100,89.41,88.24
"#fa8072","salmon",98.04,50.2,44.71
"#ff6347","tomato",100,38.82,27.84
"#e9967a","darksalmon",91.37,58.82,47.84
"#ff7f50","coral",100,49.8,31.37
"#ff4500","orangered",100,27.06,0
"#ffa07a","lightsalmon",100,62.75,47.84
"#a0522d","sienna",62.75,32.16,17.65
"#fff5ee","seashell",100,96.08,93.33
"#8b4513","saddlebrown",54.51,27.06,7.45
"#d2691e","chocolate",82.35,41.18,11.76
"#f4a460","sandybrown",95.69,64.31,37.65
"#ffdab9","peachpuff",100,85.49,72.55
"#cd853f","peru",80.39,52.16,24.71
"#faf0e6","linen",98.04,94.12,90.2
"#ffe4c4","bisque",100,89.41,76.86
"#ff8c00","darkorange",100,54.9,0
"#deb887","burlywood",87.06,72.16,52.94
"#faebd7","antiquewhite",98.04,92.16,84.31
"#d2b48c","tan",82.35,70.59,54.9
"#ffdead","navajowhite",100,87.06,67.84
"#ffebcd","blanchedalmond",100,92.16,80.39
"#ffefd5","papayawhip",100,93.73,83.53
"#ffe4b5","moccasin",100,89.41,70.98
"#ffa500","orange",100,64.71,0
"#f5deb3","wheat",96.08,87.06,70.2
"#fdf5e6","oldlace",99.22,96.08,90.2
"#fffaf0","floralwhite",100,98.04,94.12
"#b8860b","darkgoldenrod",72.16,52.55,4.31
"#daa520","goldenrod",85.49,64.71,12.55
"#fff8dc","cornsilk",100,97.25,86.27
"#ffd700","gold",100,84.31,0
"#f0e68c","khaki",94.12,90.2,54.9
"#fffacd","lemonchiffon",100,98.04,80.39
"#eee8aa","palegoldenrod",93.33,90.98,66.67
"#bdb76b","darkkhaki",74.12,71.76,41.96
"#808000","olive",50.2,50.2,0
"#ffff00","yellow",100,100,0
"#f5f5dc","beige",96.08,96.08,86.27
"#ffffe0","lightyellow",100,100,87.84
"#fffff0","ivory",100,100,94.12
"#fafad2","lightgoldenrodyellow",98.04,98.04,82.35
"#6b8e23","olivedrab",41.96,55.69,13.73
"#9acd32","yellowgreen",60.39,80.39,19.61
"#556b2f","darkolivegreen",33.33,41.96,18.43
"#adff2f","greenyellow",67.84,100,18.43
"#7fff00","chartreuse",49.8,100,0
"#7cfc00","lawngreen",48.63,98.82,0
"#006400","darkgreen",0,39.22,0
"#32cd32","limegreen",19.61,80.39,19.61
"#008000","green",0,50.2,0
"#228b22","forestgreen",13.33,54.51,13.33
"#00ff00","lime",0,100,0
"#8fbc8f","darkseagreen",56.08,73.73,56.08
"#90ee90","lightgreen",56.47,93.33,56.47
"#98fb98","palegreen",59.61,98.43,59.61
"#f0fff0","honeydew",94.12,100,94.12
"#2e8b57","seagreen",18.04,54.51,34.12
"#3cb371","mediumseagreen",23.53,70.2,44.31
"#00ff7f","springgreen",0,100,49.8
"#f5fffa","mintcream",96.08,100,98.04
"#00fa9a","mediumspringgreen",0,98.04,60.39
"#66cdaa","mediumaquamarine",40,80.39,66.67
"#7fffd4","aquamarine",49.8,100,83.14
"#40e0d0","turquoise",25.1,87.84,81.57
"#20b2aa","lightseagreen",12.55,69.8,66.67
"#48d1cc","mediumturquoise",28.24,81.96,80
"#2f4f4f","darkslategrey",18.43,30.98,30.98
"#008080","teal",0,50.2,50.2
"#008b8b","darkcyan",0,54.51,54.51
"#00ffff","aqua/cyan",0,100,100
"#afeeee","paleturquoise",68.63,93.33,93.33
"#e0ffff","lightcyan",87.84,100,100
"#f0ffff","azure",94.12,100,100
"#00ced1","darkturquoise",0,80.78,81.96
"#5f9ea0","cadetblue",37.25,61.96,62.75
"#b0e0e6","powderblue",69.02,87.84,90.2
"#add8e6","lightblue",67.84,84.71,90.2
"#00bfff","deepskyblue",0,74.9,100
"#87ceeb","skyblue",52.94,80.78,92.16
"#87cefa","lightskyblue",52.94,80.78,98.04
"#4682b4","steelblue",27.45,50.98,70.59
"#f0f8ff","aliceblue",94.12,97.25,100
"#1e90ff","dodgerblue",11.76,56.47,100
"#708090","slategrey",43.92,50.2,56.47
"#778899","lightslategrey",46.67,53.33,60
"#b0c4de","lightsteelblue",69.02,76.86,87.06
"#6495ed","cornflowerblue",39.22,58.43,92.94
"#4169e1","royalblue",25.49,41.18,88.24
"#000080","navy",0,0,50.2
"#191970","midnightblue",9.8,9.8,43.92
"#0000cd","mediumblue",0,0,80.39
"#0000ff","blue",0,0,100
"#e6e6fa","lavender",90.2,90.2,98.04
"#f8f8ff","ghostwhite",97.25,97.25,100
"#00008b","darkblue",0,0,54.51
"#6a5acd","slateblue",41.57,35.29,80.39
"#483d8b","darkslateblue",28.24,23.92,54.51
"#7b68ee","mediumslateblue",48.24,40.78,93.33
"#9370db","mediumpurple",57.65,43.92,85.88
"#663399","rebeccapurple",40,20,60
"#8a2be2","blueviolet",54.12,16.86,88.63
"#4b0082","indigo",29.41,0,50.98
"#9932cc","darkorchid",60,19.61,80
"#9400d3","darkviolet",58.04,0,82.75
"#ba55d3","mediumorchid",72.94,33.33,82.75
"#800080","purple",50.2,0,50.2
"#8b008b","darkmagenta",54.51,0,54.51
"#ff00ff","fuchsia/magenta",100,0,100
"#ee82ee","violet",93.33,50.98,93.33
"#dda0dd","plum",86.67,62.75,86.67
"#d8bfd8","thistle",84.71,74.9,84.71
"#da70d6","orchid",85.49,43.92,83.92
"#c71585","mediumvioletred",78.04,8.24,52.16
"#ff1493","deeppink",100,7.84,57.65
"#ff69b4","hotpink",100,41.18,70.59
"#fff0f5","lavenderblush",100,94.12,96.08
"#db7093","palevioletred",85.88,43.92,57.65
"#dc143c","crimson",86.27,7.84,23.53
"#ffc0cb","pink",100,75.29,79.61
"#ffb6c1","lightpink",100,71.37,75.69
